representative,clustername,nObs,min_qupm,max_qupm,nCoeffsH0,nCoeffsH1,rssH0,rssH1,pEC50H1,slopeH1,pEC50_slopeH1,detected_effectH1,df1,df2,F_statistic,nObsRound,rssH1Squeezed,dataset,max_rank,rank,is_decoy,all_null,all_true,true_cumsum,null_cumsum,remaining_null,remaining_true,pi,FDR
hyaA,hyaA,30,2,3,6,16,4.22261106085888,0.157563475107771,3.32339639286926,6.87237359478153,0.0145161884415068,stability,10,14,38.3787827894767,30,0.0105919137874944,true,37370,3,0,37000,370,1,2,36998,369,0.997351208173415,0.0199470241634683
ilvC,ilvC,50,3,19,10,24,1.37344758378607,0.0570290507971625,3.18521059518163,-2.92341005142141,-0.0288833860870051,stability,14,26,34.3298196101552,50,0.00273901512682805,true,95243,1,0,94300,943,1,0,94300,942,0.998939554612937,0
aroH,aroH,30,9,16,6,16,2.85378756613782,0.118316928708252,3.22499073019673,5.84546942642076,0.0151064393617233,stability,10,14,33.1000217036235,30,0.00826425632563894,true,37370,5,0,37000,370,2,3,36997,368,0.994675243938698,0.0149201286590805
argG,argG,30,5,18,6,16,1.46213653052555,0.0574704731001912,3.34159600761509,1.12094668205877,0.00911544350556513,stability,10,14,30.1719343043157,30,0.0046555386315568,true,37370,6,0,37000,370,3,3,36997,367,0.991972322080169,0.00991972322080169
purA,purA,50,5,29,10,24,1.53227711572858,0.086455192159616,3.01737326866461,-6.28982406274074,-0.0138156517879686,stability,14,26,27.6750174079628,50,0.00373163250516786,true,95243,4,0,94300,943,2,2,94298,941,0.997900273600713,0.00997900273600713
rpsJ,rpsJ,50,5,12,10,24,3.36439036770494,0.218942609011613,2.39239206297488,5.6422160276506,0.000232611671252838,stability,14,26,27.3968161809769,50,0.00820076458602041,true,95243,5,0,94300,943,3,2,94298,940,0.996839805722285,0.00664559870481523
rimM,rimM,50,3,9,10,24,3.23363350890597,0.248028039280483,3.38612701074788,3.62613850086229,0.0146687036845695,stability,14,26,23.2258890570782,50,0.00918188892664525,true,95243,8,0,94300,943,4,4,94296,939,0.99580045813184,0.0099580045813184
aroC,aroC,50,2,14,10,24,2.12207645158766,0.158128764419971,2.30102999566398,-1.3135237415252,-0.0193720908499295,stability,14,26,22.8124463065673,50,0.00614936143934948,true,95243,10,0,94300,943,5,5,94295,938,0.994750516994538,0.00994750516994538
dapA,dapA,50,6,11,10,24,1.5313738136943,0.113363156169146,2.99595988539351,4.21693312810242,0.0105198558464586,stability,14,26,21.8322497628191,50,0.0046393054604022,true,95243,11,0,94300,943,6,5,94295,937,0.993690015377273,0.00828075012814395
purM,purM,30,3,8,6,16,2.97396263844152,0.194566288786139,3.36085142478894,1.11119777192167,0.0257971950717757,stability,10,14,21.736962031171,30,0.0127864986177447,true,37370,17,0,37000,370,4,13,36987,366,0.989536864303674,0.0321599480898694
bcsZ,bcsZ,40,2,2,8,20,8.41780273126369,0.67938812079112,3.18140271256359,-5.68412947560648,-0.029490540603475,stability,12,20,21.7343534057156,40,0.029670442555538,true,38784,7,0,38400,384,1,6,38394,383,0.997551700786581,0.0598531020471949
btsR,btsR,20,4,6,4,12,1.62559782666269,0.0766808797360387,3.32346207912619,3.80974471808173,0.0154466019103662,stability,8,8,21.2543317161438,20,0.00910941924458489,true,49086,14,0,48600,486,1,13,48587,485,0.998209397575483,0.129767221684813
proB,proB,20,18,20,4,12,0.548806364191287,0.0122903114535713,4.30102999566398,1.68565913260944,0.0175454903265176,stability,8,8,20.7924245049113,20,0.00322542984712406,true,49086,15,0,48600,486,2,13,48587,484,0.996151233869142,0.0647498302014942
modF,modF,20,2,5,4,12,0.659726234061511,0.0218541010896292,3.30910588211689,2.53013939542704,0.0174316359045887,stability,8,8,19.4503294538577,20,0.00409936586476025,true,49086,17,0,48600,486,3,14,48586,483,0.994113530646688,0.0463919647635121
arcA,arcA,50,6,14,10,24,0.80689151667333,0.0583777373913059,2.9455358060121,1.95376434435234,-0.0119623056961419,stability,14,26,19.2009637970581,50,0.00278450970033638,true,95243,13,0,94300,943,7,6,94294,936,0.992640040723694,0.00850834320620309
gnd,gnd,50,3,32,10,24,1.31430477142105,0.109448763489402,3.05811477223392,-6.9646895582929,-0.0186561950103032,stability,14,26,19.0938801643883,50,0.00450726320070867,true,95243,14,0,94300,943,8,6,94294,935,0.991579527859673,0.00743684645894755
sgbH,sgbH,40,2,3,8,20,8.62074276434761,0.803101639561102,3.33967589480872,-0.0421594473337974,-0.837576381293626,stability,12,20,18.6797760818102,40,0.0348756907405647,true,38784,8,0,38400,384,2,6,38394,382,0.994947127155285,0.0298484138146585
yneE,yneE,30,2,4,6,16,2.18001322527959,0.166426857182728,3.37469855002524,-0.0644666329063046,0.300320343582521,stability,10,14,18.1117187969202,30,0.0111175885109218,true,37370,26,0,37000,370,5,21,36979,365,0.98704670218232,0.0414559614916574
yahK,yahK,50,14,19,10,24,1.00111785385013,0.0845423275579822,3.26398741564528,4.56773941057992,0.0129130070703182,stability,14,26,17.8532243797207,50,0.00366710679577887,true,95243,18,0,94300,943,9,9,94291,934,0.99055052974303,0.0099055052974303
moeA,moeA,30,2,9,6,16,1.11255507364576,0.0815283795907411,3.31202336194876,5.86854100567397,-0.011745726148579,stability,10,14,16.9510426084535,30,0.00608237922510354,true,37370,33,0,37000,370,6,27,36973,364,0.984502204311254,0.0443025991940064
tktB,tktB,50,5,24,10,24,5.21058563566773,0.558226551002977,3.30231689905633,3.90248589772975,0.0105862875082968,stability,14,26,16.9152549648379,50,0.0196456609067449,true,95243,22,0,94300,943,10,12,94288,933,0.989521466146275,0.0118742575937553
yqgE,yqgE,50,3,11,10,24,1.96679941999073,0.198871600780878,3.27300469015317,5.19944955503555,0.0112862358039714,stability,14,26,16.7843262364226,50,0.00752371925665723,true,95243,23,0,94300,943,11,12,94288,932,0.988460885796708,0.0107832096632368
cyaA,cyaA,20,4,15,4,12,0.816985111636391,0.0410432646776133,3.31943414736807,2.94362344371597,0.0190752978238208,stability,8,8,16.5718367551379,20,0.00585286545498803,true,49086,22,0,48600,486,4,18,48582,482,0.992137005475279,0.0446461652463876
uup,uup,20,22,33,4,12,1.19453686189525,0.0741342948317122,3.27144697579049,3.99761566158661,0.0160275251149193,stability,8,8,15.777272368474,20,0.00887671313596571,true,49086,23,0,48600,486,5,18,48582,481,0.990078629945247,0.0356428306780289
uvrB,uvrB,20,10,20,4,12,0.414099483190974,0.0122372417779889,3.32801316864371,2.05057420693855,0.0217013791545074,stability,8,8,15.5974310851895,20,0.00322058035725648,true,49086,24,0,48600,486,6,18,48582,480,0.988020254415216,0.0296406076324565
gmhB,gmhB,30,2,3,6,16,0.992036415181488,0.0794122491661292,3.31224012711675,6.07932301133037,-0.0143573733714761,stability,10,14,15.3205202671763,30,0.00595687450621782,true,37370,41,0,37000,370,7,34,36966,363,0.981983444246064,0.0476963387205231
cca,cca,50,6,11,10,24,0.585242080157359,0.0518427291962289,2.30102999566398,3.02409731412798,-0.0318285853785656,stability,14,26,14.8591849915049,50,0.0025640675219982,true,95243,30,0,94300,943,12,18,94282,931,0.987463142487431,0.0148119471373115
yhgF,yhgF,20,28,43,4,12,0.813939875774845,0.0477171858446199,3.31896290669926,3.48747124835836,0.0170186508556236,stability,8,8,14.8200361496773,20,0.0064627262223894,true,49086,28,0,48600,486,7,21,48579,479,0.986022767039256,0.0295806830111777
suhB,suhB,50,15,24,10,24,1.00866768018912,0.107140363165504,3.18609476428719,3.63241519568144,0.0120603215309148,stability,14,26,14.5380592995464,50,0.00442939508169695,true,95243,32,0,94300,943,13,19,94281,930,0.986412957011487,0.0144168047563217
cspB,cspB,40,2,4,8,20,1.22772158481962,0.125224919316716,3.05218989519422,-3.87299440274995,-0.000320951765901036,expression/solubility,12,20,14.4593122831929,40,0.00635401741976583,true,38784,19,0,38400,384,3,16,38384,381,0.99260108378491,0.0529387244685286
ldcC,ldcC,40,2,9,8,20,3.84266000779704,0.442498269088457,2.89854128926049,8.21817468250363,-0.0221714663456665,stability,12,20,14.380679073738,40,0.0197032984399531,true,38784,20,0,38400,384,4,16,38384,380,0.989995831596499,0.0395998332638599
ycbZ,ycbZ,30,13,14,6,16,0.656301512720892,0.0501848393267462,3.32480707994864,-1.74703714273709,0.00820697775157867,stability,10,14,14.3512626897695,30,0.00422343794059477,true,37370,48,0,37000,370,8,40,36960,362,0.979437229437229,0.0489718614718615
ppx,ppx,20,10,14,4,12,0.383279336976321,0.0135919851635965,3.32474741580032,1.39088879410734,0.0108332076164439,stability,8,8,13.8174995399646,20,0.00334437637163901,true,49086,31,0,48600,486,8,23,48577,478,0.984004775922762,0.0282901373077794
ispB,ispB,30,5,9,6,16,1.57714964977408,0.155018893281309,3.30198711842985,4.17316106324779,0.0135177849807878,stability,10,14,13.6206397770917,30,0.0104409982186346,true,37370,52,0,37000,370,9,43,36957,361,0.97681088832968,0.0466698535535292
nuoG,nuoG,50,11,34,10,24,1.06958319123525,0.123881540299906,3.33619526284771,1.72749674947343,-0.00727871092966831,stability,14,26,13.5259385387968,50,0.00499411687626685,true,95243,35,0,94300,943,14,21,94279,929,0.985373200818846,0.0147805980122827
