gene_name,protein_id,effect_type,effect_size,log_transformed_f_statistic,fdr
PA14_05110,A0A0H2ZKU7,stability,1.478830400673322,6.069776684928035,0.0299566299536492
rhlE,A0A0H2ZK67,stability,-1.7195721991637334,6.003641733411611,0.0599287824835215
azu,A0A0H2ZI65,expression/solubility,-1.4345657290988623,5.8606689989554965,0.00999241954379436
PA14_62650,A0A0H2ZI19,stability,1.6520962579554477,5.749655297022959,0.00499238125866201
np20,A0A0H2ZJL1,stability,3.056654307765615,5.395425358161198,0.0299302108065328
lpxD,Q02RB8,stability,-2.6483826156535106,5.29714511444779,0.124723713293338
dusC,A0A0H2ZDL7,stability,2.19115016286693,5.295657580768281,0.024883079505936
PA14_05060,A0A0H2ZK38,expression/solubility,-1.4625029176617985,5.291023654669309,0.0133031129080013
ycgB,A0A0H2ZLS6,stability,1.934720245502361,5.287977003601698,0.0165487468521405
PA14_62660,A0A0H2ZHV9,expression/solubility,-1.4227807311312664,5.253197747170061,0.0930126812509473
ppiA,A0A0H2ZDH5,expression/solubility,-1.1854706717868089,5.220253179754732,0.0124621922738237
rimI,A0A0H2ZHR2,expression/solubility,0.8553167464784744,5.1930196247893345,0.0249273418287503
PA14_11740,A0A0H2ZFX1,stability,-1.7481734153906885,5.164962114915261,0.0895861755343338
PA14_03710,A0A0H2ZK99,expression/solubility,-3.2107968417531385,5.081119068841362,0.0795351187468418
PA14_15350,A0A0H2ZE01,stability,-1.2575618397185933,5.055840790489091,0.0695065565072387
psiF,A0A0H2ZH44,expression/solubility,-3.1010854808016313,5.026074478813064,0.0139471487752023
moaC,Q02S84,stability,1.2701685927955964,4.992866301201018,0.0116136903713573
PA14_62690,A0A0H2ZHN3,expression/solubility,-2.9903999545516746,4.988234144034957,0.00994693436861088
PA14_56100,A0A0H2ZFD1,stability,-3.425254448695232,4.950441900369434,0.0123815805252428
PA14_15120,A0A0H2ZEY0,expression/solubility,-1.5474485141557337,4.931756178919358,0.00869686736655104
cheR,A0A0H2ZCU0,stability,-1.313226171300947,4.912176688832017,0.0750953469944714
nadK,Q02PQ1,stability,1.9372129447581166,4.877786141577726,0.00882817392251354
PA14_59845,A0A0H2ZM14,expression/solubility,-1.8698555389505405,4.8393997053192415,0.00893170279728312
PA14_09790,A0A0H2ZG74,stability,1.0309708303900105,4.837607553404396,0.013834456623414
PA14_04100,A0A0H2ZL15,expression/solubility,-1.1488208684652133,4.824515177964075,0.00811346459208869
