gene_name,protein_id,effect_type,effect_size,log_transformed_f_statistic,fdr
pdxB,P05459,stability,-1.7587362430635611,6.585970535575922,0
ftsI,P0AD68,stability,2.133005146451848,6.327131590651728,0.00497480948884782
alaS,P00957,stability,3.1602819150674955,5.9526540461294815,0
aceF,P06959,stability,2.123286246176232,5.724812941445083,0
ycbZ,P75867,stability,-1.7419783918142708,5.6335138165969525,0.00330810062702009
nusA,P0AFF6,stability,2.1612170506136885,5.594187847414403,0
mrcA,P02918,stability,1.726039024011162,5.513719259657095,0.00247474619610623
tdh,P07913,stability,3.2915527696579834,5.5047310751139165,0
rpsA,P0AG67,stability,2.3139665093328623,5.42061296896793,0
fimB,P0ADH5,stability,2.415874300419023,5.381809623306555,0.0299420284080722
queF,Q46920,stability,2.5951268634995475,5.144581850763212,0.00165749915058908
icd,P08200,stability,1.936267711899139,5.1178823106667535,0.00141940172610794
fecB,P15028,stability,-1.6018548498058014,5.0935098050974155,0.00124082865774709
sucB,P0AFG6,stability,2.4498223295442445,5.080505328359824,0.00110193849346642
pflB,P09373,stability,2.1537448830642623,5.0030911380284255,0.0019816709214127
ugpB,P0AG80,stability,-1.3168556942931122,4.962409515538086,0.0017998494003563
fumB,P14407,stability,1.2036778630374638,4.93719597417189,0.0059245005949819
gabD,P25526,stability,1.7006938258301598,4.9205602819301095,0.00247251990412959
katG,P13029,stability,2.338888581982848,4.880908703461773,0.00228020691394338
glnS,P00962,stability,5.4927987904008075,4.880242581805404,0.00211536720806949
metG,P00959,stability,2.2210153324620725,4.863505147419332,0.00263003232441963
cspG,P0A978,expression/solubility,-2.2361539114200526,4.79355749249759,0.00369510716843903
leuS,P07813,stability,4.455523181362173,4.788245394096182,0.00347450677885348
cspB,P36995,expression/solubility,-1.4781166990406422,4.767753917882699,0.00327841754366632
thrS,P0A8M3,stability,1.9217753764259329,4.76737839708846,0.00310296928060412
aldA,P25553,stability,1.2192435951871672,4.698031552800794,0.00441772047276634
carB,P00968,stability,0.8853858045218637,4.685290550173575,0.0298918094954828
tolB,P0A855,stability,-1.1000781156009658,4.679723870001581,0.00467050627763273
rpsD,P0A7V8,stability,3.3344300964777323,4.671459147557632,0.00445403618330425
fepB,P0AEL6,stability,-0.9583468736112286,4.638985269886711,0.0148901364464438
rhlB,P0A8J8,stability,2.5340343076039233,4.566132202388205,0.00988957876343086
bglX,P33363,stability,-0.949865036648101,4.558607323310053,0.00595916431145778
yjjX,P39411,stability,1.1712346519505672,4.5381682564415105,0.0348654194808041
glmS,P17169,stability,1.3571365897920473,4.522689789016748,0.00570550851349118
acpP,P0A6A8,expression/solubility,-2.220193897678915,4.5057531938128745,0.00586306653809065
pheS,P08312,stability,3.4241534815480685,4.497407940679078,0.00600780506000741
proS,P16659,stability,3.259745939096676,4.487139854283652,0.00577985134026426
rpoZ,P0A800,expression/solubility,-2.726870071258429,4.459312147904075,0.00556818002907419
hflX,P25519,stability,1.0691315808646111,4.4128294832739625,0.0131334616293595
amn,P0AE12,stability,0.8639215652556588,4.356707826994637,0.00985276621058894
gyrA,P0AES4,stability,2.509079683801911,4.351379517743375,0.00805725209697587
agp,P19926,stability,-1.4470409227042613,4.3470559739542285,0.00778132921856056
rpsC,P0A7V3,stability,4.011782098084793,4.3315498821661285,0.00846384200828251
pykF,P0AD61,stability,1.9763839626157598,4.3125273570918985,0.00849506760232199
glmU,P0ACC7,stability,1.9139332087234038,4.293502610500517,0.00852384932626686
tmk,P0A720,stability,-1.1523175184878949,4.2848466031384245,0.00855040280096607
