gene_name,protein_id,effect_type,effect_size,log_transformed_f_statistic,fdr
hyaA,P69739,stability,2.016196316272577,5.299346612659952,0.0199470241634683
ilvC,P05793,stability,-1.1473528371817048,5.142814477905938,0
aroH,P00887,stability,1.6539258258548257,5.0917007523684825,0.0149201286590805
argG,P0A6E4,stability,1.1851860855685739,4.962175775826244,0.00991972322080169
purA,P0A7D4,stability,-1.2024233545507024,4.841722456956675,0.00997900273600713
rpsJ,P0A7R5,stability,1.773541022557225,4.827657280342574,0.00664559870481523
rimM,P0A7X6,stability,1.7278904680637275,4.5984777064390485,0.0099580045813184
aroC,P12008,stability,-1.4014091790650185,4.573643934439824,0.00994750516994538
dapA,P0A6L2,stability,1.190802526670629,4.513001116594058,0.00828075012814395
purM,P08178,stability,1.667152167516625,4.5069675982223565,0.0321599480898694
bcsZ,P37651,stability,-2.7818006058077867,4.50680206744868,0.0598531020471949
btsR,P0AFT5,stability,1.244554919208731,4.476014273085713,0.129767221684813
proB,P0A7B5,stability,0.7324725610817894,4.4457548065605845,0.0647498302014942
modF,P31060,stability,0.7986689758416072,4.3540521799917045,0.0463919647635121
arcA,P0A9Q1,stability,0.865166908337359,4.336352221135014,0.00850834320620309
gnd,P00350,stability,-1.0976593314556427,4.328684272866201,0.00743684645894755
sgbH,P37678,stability,-2.7960044929839634,4.298641900549281,0.0298484138146585
yneE,P76146,stability,-1.4190089386951945,4.256385626645161,0.0414559614916574
yahK,P75691,stability,0.9573795100649208,4.236739376939535,0.0099055052974303
moeA,P12281,stability,1.0153948463799778,4.1659957340534115,0.0443025991940064
tktB,P33570,stability,2.156932795583755,4.163116670609596,0.0118742575937553
yqgE,P0A8W5,stability,1.3296344682693255,4.152534413465674,0.0107832096632368
cyaA,P00936,stability,0.8808756137836815,4.135193096650856,0.0446461652463876
uup,P43672,stability,1.0584907023982486,4.068436277867475,0.0356428306780289
uvrB,P0A8F8,stability,0.633926053584316,4.052888056492178,0.0296406076324565
gmhB,P63228,stability,0.9553136479792167,4.028615143306539,0.0476963387205231
cca,P06961,stability,0.7303419411215065,3.9872467272832113,0.0148119471373115
yhgF,P46837,stability,0.8753414704732234,3.9836809913415934,0.0295806830111777
suhB,P0ADG4,stability,0.9494879235796608,3.9577344175671785,0.0144168047563217
cspB,P36995,expression/solubility,-1.0499984121430392,3.9504042364207987,0.0529387244685286
ldcC,P52095,stability,1.8439527485021363,3.9430472961511174,0.0395998332638599
ycbZ,P75867,stability,-0.7785349532257019,3.9402854215803598,0.0489718614718615
ppx,P0AFL6,stability,0.6080192034900909,3.8892301076018767,0.0282901373077794
ispB,P0AD57,stability,1.192531239210433,3.8699345377127714,0.0466698535535292
nuoG,P33602,stability,0.9724719280963044,3.8605594758338113,0.0147805980122827
yfcG,P77526,stability,1.4169777838761672,3.854787054184671,0.0144367367431073
tdh,P07913,stability,1.8835191549587833,3.842913075353325,0.0135198561700503
wrbA,P0A8G6,stability,-0.8229874872595606,3.835297784806714,0.0127108438997059
galT,P09148,stability,1.2682182692323865,3.8149833593351663,0.012536933127321
ypfH,P76561,stability,0.6840675894266923,3.7990538849346125,0.0294608115619789
ygiQ,Q46861,stability,0.6458455819059828,3.7841877970913105,0.0264591439688716
yhiN,P37631,stability,1.097144950410233,3.7594826654304208,0.0355479130842582
mnmC,P77182,stability,-0.6731808750730492,3.7342888550400817,0.0248927552723979
topB,P14294,stability,0.6823312437502275,3.7066242648468806,0.0243977764051884
recJ,P21893,stability,0.6890217185745839,3.7053345309709065,0.0224735116643702
aas,P31119,stability,1.223872930051204,3.664846827858872,0.0426851514045969
wecG,P27836,stability,0.532734615022749,3.6560266380357676,0.0545690775227371
trpB,P0A879,expression/solubility,0.8994050348338339,3.6453379272248654,0.0180565985589338
pspF,P37344,stability,1.7506150834963956,3.6312673433373086,0.0503552155285907
dkgB,P30863,stability,1.299116511562319,3.603236561153373,0.0190943232089624
envC,P37690,stability,0.5573661282132895,3.602007744040893,0.0492659068554464
rnd,P09155,stability,0.73221449166894,3.600967402911676,0.0305508808680404
nirB,P08201,stability,0.8106729869323825,3.5571572870188533,0.0303956501143081
rfbA,P37744,stability,-0.7737033898582717,3.5366294884258673,0.0218934549512887
lptF,P0AF98,stability,1.999075737981799,3.523442036570402,0.0213200202165954
ybfF,P75736,stability,-1.0581171034436123,3.5227425563077417,0.0203709205109706
yffS,P76550,stability,1.2148483367581975,3.5211763306716093,0.0195009124474812
gshA,P0A6W9,stability,1.1014612098400456,3.4915070431028448,0.0542879819019229
glsA2,P0A6W0,stability,0.7756023876082022,3.4810749285918634,0.0229887204083149
murG,P17443,stability,0.5316054766742341,3.4636797619098614,0.0557900887270589
pepT,P29745,stability,0.8755596260796925,3.4436662234978717,0.0235784409357422
hflX,P25519,stability,0.836382174335699,3.4300661073679515,0.0557798065722103
ydcP,P76104,stability,0.6825844096646018,3.421157686780208,0.0332809764136368
yccS,P75870,stability,0.9449842153353643,3.397260067578912,0.0557516189340775
dsbD,P36655,stability,0.6158038117332504,3.356472624939465,0.0255626265877887
rplD,P60723,stability,-0.8105697632388177,3.3532116038485356,0.0246227655119822
tktA,P27302,stability,-0.7175789528517259,3.337515047538807,0.0247519353688893
selB,P14081,stability,0.7410397520545188,3.3273931290842746,0.0346707256626873
mukB,P22523,stability,2.3566732457172526,3.326978280431723,0.062481562334061
yejB,P0AFU0,stability,0.7353154008192904,3.323779145804087,0.0326747563814664
ydhQ,P77552,stability,0.5854110955117519,3.3228685952330825,0.0744368156942804
coaE,P0A6I9,stability,0.776992582029671,3.3033808172307313,0.0308888891298478
pfkA,P0A796,stability,1.2800484152214786,3.299658063489947,0.0261635126672964
ldhA,P52643,stability,1.1726157538093342,3.2906638199434712,0.0277921111191385
rbsA,P04983,stability,0.6322478360028385,3.2863415725627507,0.0636297903109183
birA,P06709,stability,0.5961608719819445,3.2829650441269687,0.0302429074726497
dsdA,P00926,stability,0.7350284093532209,3.2439482978260905,0.0747802498761053
dgt,P15723,stability,-0.7450341940848306,3.2384206970668115,0.0314318017750223
bolA,P0ABE2,stability,0.5623986880377623,3.2213966071116955,0.0681537828947368
ilvE,P0AB80,stability,-0.5984144603856038,3.2002043681607906,0.0330837653398092
ybjX,P75829,stability,0.5883971452761184,3.1885776517064994,0.0351379758052882
accC,P24182,stability,-1.1645531725004654,3.1874422675909315,0.0323596238231984
yfgD,P76569,stability,2.964203665245573,3.1755399182646347,0.0319520452366796
aspS,P21889,stability,-0.7298930504158468,3.1703818157303787,0.0312981111240882
pykF,P0AD61,stability,-1.0879524438411978,3.1678837281042167,0.0304186415692738
cspG,P0A978,expression/solubility,-1.1176061203536696,3.159199796149009,0.0771826380373433
pepN,P04825,stability,0.6792591599895677,3.158729678094274,0.0692791359023194
yaaA,P0A8I3,stability,1.0059168304566044,3.1577648902353395,0.0343393956880901
asd,P0A9Q9,stability,-0.651135426537981,3.156348766521898,0.0305982281221481
tesB,P0AGG2,stability,-0.5103634930604166,3.148364571498955,0.0302736010180503
uvrD,P03018,stability,0.5536536032226306,3.1444467087659005,0.0331911538047959
aroB,P07639,stability,-0.6952186397818209,3.1410768895687706,0.0645853741843514
pyrB,P0A786,stability,-0.5572638730702657,3.129083704186545,0.0304442356089325
yfeR,P0ACR7,stability,0.6030475506604257,3.1281823886645843,0.0325343171606414
fpr,P28861,stability,0.49422528725466164,3.114642009973808,0.0788673508171798
rpsL,P0A7S3,stability,1.0123046731277254,3.11363774425132,0.0301366662773041
murB,P08373,stability,0.6692748424747562,3.1102238383082894,0.0762569315961839
ybiT,P0A9U3,stability,0.6446907277361338,3.092785767469044,0.0338306775782812
der,P0A6P5,stability,0.5776155413337064,3.0840402361816004,0.0743081286704172
pdxK,P40191,stability,0.8533211052743018,3.0833223182123546,0.0302990077911229
queD,P65870,stability,1.0347553750229448,3.0831185811650887,0.0295615335545633
maeB,P76558,stability,-0.8153593787522094,3.071496184244839,0.0301613484061631
mdoD,P40120,stability,-0.5281661097146615,3.0658293509700387,0.071696331060539
yrfG,P64636,stability,0.5805833729438947,3.046216858729735,0.0364789849325932
tgt,P0A847,stability,-0.4912316499199767,3.0413442388649403,0.0317932377411931
wbbI,P37749,stability,0.8442759826978012,3.0378466693714254,0.0350515463917526
yhjJ,P37648,stability,-0.6470181786810829,3.035468519783819,0.080128456176079
frsA,P04335,stability,0.502199806713368,3.01981961431375,0.0347399986449825
ybjQ,P0A8C1,stability,-0.5745596501408905,3.0170425258794697,0.0323122025832767
ruvB,P0A812,stability,0.8337053338195833,2.986384595227315,0.0357485724038373
mdlA,P77265,stability,0.5425386459554491,2.9769990068593875,0.0357381512189085
coaD,P0A6I6,stability,1.021417469737951,2.958435583243782,0.036864542609029
glpK,P0A6F3,stability,-0.5713028142166423,2.955717819421651,0.0360562449974146
guaC,P60560,stability,-0.9551607454783226,2.9544763137890144,0.0352809391250497
pheA,P0A9J8,stability,0.476705152721511,2.951942403576777,0.0378479096308373
pgi,P0A6T1,stability,-0.7453989122445142,2.932219334799355,0.0349169110459433
cspA,P0A9X9,expression/solubility,-0.665315465776019,2.9253355598048665,0.0345663394456535
katG,P13029,stability,0.45041196046785026,2.9177639445505883,0.0811091783763216
nhaR,P0A9G2,stability,1.2352274504424834,2.913340684325277,0.0954463596604065
thiL,P0AGG0,stability,0.6894090759611314,2.877263609389062,0.0400681907378336
insH1,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0427493086226111
insH10,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0413625669332113
insH11,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0400573982843643
insH2,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0388268107011658
insH3,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0376645890948116
insH4,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.03656519027799
insH5,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0355236545567907
insH6,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.034535530923858
insH7,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0335968134725719
insH8,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0327038871164705
insH9,P0CE49|P0CE50|P0CE51|P0CE52|P0CE53|P0CE54|P0CE55|P0CE56|P0CE57|P0CE58|P76071,stability,0.6190934630614334,2.8681020196672042,0.0318534810630406
polA,P00582,stability,0.46433097345471086,2.865002337759625,0.0310426287795377
slyA,P0A8W2,stability,1.17036239690177,2.8642174998794747,0.0406994562173975
clpB,P63284,stability,-0.7881544745938699,2.8631368710599228,0.0400763095801949
tyrR,P07604,stability,0.41405892406108663,2.859120706323151,0.0302686334180122
fabB,P0A953,stability,-0.6853167554063282,2.8507707359936405,0.0398195502673115
thiI,P77718,stability,-0.5693023481810725,2.8379258294625354,0.10225422386878
gss,P0AES0,stability,-0.4003896534232317,2.8370155591709003,0.0874534229064106
yegU,P76418,stability,0.5179817712926881,2.8354754674553133,0.0951793370281293
cyaY,P27838,expression/solubility,0.4434047070141924,2.8281268941482796,0.0901960784313725
tyrA,P07023,stability,0.4984413278317202,2.8033697782086637,0.0323699421965318
secA,P10408,stability,0.5199281078262358,2.8003241738833173,0.0317925638431842
oppD,P76027,stability,0.42836690815225203,2.7959442880566656,0.0885555104415637
yciT,P76034,stability,0.4939719599239949,2.794885122829694,0.0914612196675312
sucC,P0A836,stability,-0.9766012292657382,2.7911876294983804,0.0434543684128976
bcsC,P37650,expression/solubility,-0.7171558212770753,2.786084693826485,0.0322063688772074
artJ,P30860,stability,0.7026156603219935,2.7816382013905865,0.0433068677350664
rplX,P60624,stability,0.5608121464157781,2.7787820529926437,0.0426748752233622
fre,P0AEN1,stability,0.4576029928264648,2.754627173183572,0.0337327812312839
rplS,P0A7K6,stability,-0.5052751190298186,2.7412286486522808,0.0462193888497257
hflK,P0ABC7,stability,-0.49086437465819865,2.740546184584129,0.0453976527319789
tmk,P0A720,stability,-0.623362050548542,2.7364032208306637,0.0452199946777028
yeaG,P0ACY3,stability,0.570369119201128,2.7320948040169095,0.0350028877487785
rfaY,P27240,stability,0.49923730772688896,2.7304078836176355,0.0342243338153274
eptC,P0CB39,stability,0.8972476370844658,2.7283497881991026,0.0455016851586273
metE,P25665,expression/solubility,0.648477491243465,2.7243836931480456,0.0336531976917272
ydiU,P77649,stability,0.5430220299378358,2.7157834802216376,0.0334494452372401
feoB,P33650,stability,0.48885423820142576,2.713133185823118,0.0972178093287056
wecB,P27828,stability,-0.5681724532639438,2.706168479421196,0.0468159812736075
ubiB,P0A6A0,stability,0.4526896388445144,2.7050692924040334,0.0951486003782131
recR,P0A7H6,expression/solubility,-0.39251690709417775,2.7009544439982434,0.0919217753365575
btuR,P0A9H5,stability,0.836201723469317,2.6998703613774233,0.0995036593131482
cysB,P0A9F3,stability,0.5423216052090681,2.6925399603371747,0.0337595509122096
mukE,P22524,stability,-1.4017593727707247,2.68769932123517,0.0950194832295467
ppa,P0A7A9,expression/solubility,-0.61248108488486,2.6868706452299267,0.0479384816753927
murQ,P76535,stability,1.1007013877439649,2.6866207850636163,0.0332238269385731
dcm,P0AED9,stability,0.7104146192133781,2.6813904719381396,0.0327068361202003
araG,P0AAF3,stability,0.8098413557028968,2.6778042916143106,0.0917091245947198
rpoD,P00579,stability,-1.3025734560518716,2.677089435739624,0.0481570470183252
pyrG,P0A7E5,stability,-1.4629899114493168,2.663321824404103,0.0482249349893748
ygfZ,P0ADE8,stability,0.5826323462367856,2.662783730191506,0.0334823735028327
rpsP,P0A7T3,stability,0.8987175344050004,2.662258876456297,0.0475906510149184
purK,P09029,stability,1.0785445809653391,2.6599863074951835,0.0991202346041056
uvrC,P0A8G0,stability,0.47949416444987214,2.6599213586125083,0.0329746827182033
sdhE,P64559,stability,-0.8511326014055489,2.646138242844238,0.0335561859417542
rcsD,P39838,stability,0.6481153807513322,2.6460516142635226,0.0329103635764884
mnmG,P0A6U3,stability,-0.5151638336105128,2.6324479130268634,0.096003757196456
spoT,P0AG24,stability,0.6762336050931448,2.6280455590037386,0.034203072342713
trxB,P0A9P4,stability,0.4150033303477594,2.6278787135909187,0.0502744133647199
chrR,P0AGE6,stability,-0.9091008564096978,2.6253381433484826,0.049624551093699
queF,Q46920,stability,1.0549630783491146,2.623186507080519,0.0489929537943506
pssA,P23830,stability,0.47945694608805095,2.6206338085459695,0.0341424127576189
yeaD,P39173,stability,0.41260868176474896,2.6117837743035683,0.101424979044426
yhhW,P46852,stability,0.6907262735712114,2.611143551628425,0.0491665122115513
clsA,P0A6H8,stability,0.5560023397779115,2.6082155937336435,0.0967979489417412
hemL,P23893,stability,-0.517257375927215,2.607542103961866,0.0484280434772322
intF,P71298,stability,0.6142330611075192,2.598556875647971,0.0349339501235204
sohB,P0AG14,stability,-0.5802007036004602,2.5952317107109346,0.0987160647897857
rimK,P0C0U4,stability,-1.076774714405569,2.594372099236309,0.0497484859854092
gntK,P46859,stability,0.5684156362273052,2.5926230992554404,0.0348566819228053
fumD,P0ACX5,expression/solubility,-0.948921479454255,2.590177444723369,0.0342309303191379
kefC,P03819,stability,-0.5558604893780099,2.5890037556087346,0.0975236677828765
glpA,P0A9C0,stability,0.8098853283274355,2.5856265908334057,0.0946466720061377
asnS,P0A8M0,stability,-0.7012667569853829,2.584970748340516,0.0500244653599286
dmsD,P69853,stability,-0.8375212319630548,2.584491598526545,0.0340284296847405
mug,P0A9H1,stability,-0.4877180246396605,2.579364406097065,0.0929873532209522
fxsA,P37147,stability,0.7313565732876577,2.577026124515769,0.0995426339453576
leuA,P09151,stability,0.8471012820810898,2.572677263082998,0.0342272539210893
tcdA,Q46927,stability,0.6999902030754201,2.5710448597425066,0.0903901609220497
kefG,P0A756,stability,2.2103239618505475,2.567886216874938,0.0338962640560284
glnQ,P10346,stability,2.8779983773703437,2.5653973995370603,0.0506623779143457
pdxH,P0AFI7,stability,-0.4699712894438168,2.564502266806417,0.0499381688679409
hisF,P60664,stability,-0.6577328531509385,2.5634700321345463,0.0494733998413954
hisS,P60906,stability,0.42213291807438647,2.560460519301079,0.0881799077536093
folP,P0AC13,stability,-0.5455283148666951,2.553899312127701,0.0498505698339525
pyrF,P08244,expression/solubility,-0.35404641843564183,2.5451122931983248,0.0502159554164563
nrdE,P39452,stability,0.5069906918456278,2.543317204700526,0.0348527525068712
ybjI,P75809,stability,0.7816042853481127,2.5424858090909095,0.0342654687637765
lysS,P0A8N3,stability,-1.8659733052424812,2.5379984724957905,0.0503390616010739
glgC,P0A6V1,stability,0.9238733181964766,2.5331588517501613,0.0498878024270453
serS,P0A8L1,stability,-1.6950290300457984,2.5232025440887518,0.0506835594105299
mtlA,P00550,stability,0.3620513723558454,2.520105538204148,0.050125699396268
glnG,P0AFB8,stability,0.38466701880938353,2.5104300575930463,0.0359218822082116
yceF,P0A729,expression/solubility,-0.601140447681009,2.5097635887681027,0.112953585390812
