gene_name,protein_id,effect_type,effect_size,log_transformed_f_statistic,fdr
dacB,A0A0H2ZD24,stability,6.348157691645747,6.870369405143733,0
mrcB,A0A0H2ZHP9,stability,2.2744421851736316,5.949153321495853,0.00998117834939828
PA14_03480,A0A0H2ZKX0,expression/solubility,1.8190605495862342,5.854044019817212,0
PA14_67410,A0A0H2ZHK4,stability,3.3969948229343156,5.674973199380071,0.0299660034814304
msbA,A0A0H2ZHD7,stability,-2.3845625161916506,5.53932115366105,0.024943045738653
PA14_05110,A0A0H2ZKU7,stability,1.43007078410241,5.487568922327797,0.00996934889625066
gnyL,A0A0H2Z956,stability,2.1103758922075357,5.450407787700717,0.0298893409894665
phr,A0A0H2ZHU8,stability,1.5376950106208918,5.270064258076583,0.0265756924323145
PA14_58060,A0A0H2ZGT1,stability,1.321764203530272,5.165694562642557,0.00499141493886919
PA14_01830,Q02UT0,stability,1.240302223816295,5.061320465976395,0.0248860848229933
PA14_54540,A0A0H2Z6Z0,stability,-1.3300477672900717,5.023266571406106,0.00997437379742358
PA14_58290,A0A0H2ZGV8,stability,1.7918600672677314,4.993304996444195,0.0066359123605478
PA14_36200,A0A0H2Z9N7,stability,-1.5709763486284827,4.992693397232928,0.00996583143507973
fbpA,A0A0H2ZIS4,stability,-1.578009079357376,4.832037736565696,0.00796576240767585
dusC,A0A0H2ZDL7,stability,1.7718285891564811,4.779818229821261,0.0795800365185636
PA14_67860,A0A0H2ZIL0,stability,-1.9210426395080784,4.749456783106972,0.00829055035448754
PA14_15200,A0A0H2ZF56,stability,-1.3505861900128213,4.718449613900096,0.0457435993315961
PA14_17550,A0A0H2ZEP2,stability,1.9094421776223682,4.6907722369281455,0.0413866978284156
ybeJ,A0A0H2Z7E7,stability,-1.5886267987707816,4.646317562188798,0.0719883586007495
PA14_68060,A0A0H2ZHN5,stability,2.8531413277890647,4.592908955276563,0.0481933745379507
PA14_49990,A0A0H2Z7M0,stability,1.5092798441627338,4.556619897086843,0.0483164058391089
speB1,A0A0H2ZKZ0,stability,1.586638096589469,4.530192060979151,0.0142006582596797
PA14_62690,A0A0H2ZHN3,expression/solubility,-1.24425389037602,4.506022733450673,0.0124147898869618
PA14_68260,A0A0H2ZHP8,stability,-1.0716008003705872,4.49224309403729,0.0110257811526256
PA14_06600,A0A0H2ZLI5,stability,2.785158946601634,4.48991278230755,0.00991457416515661
nqrD,Q02PG0,stability,1.3875913057374534,4.4182943287774785,0.00990603077082381
PA14_16610,A0A0H2ZEP5,expression/solubility,2.6778827449700504,4.403600419362085,0.00989748722904874
np20,A0A0H2ZJL1,stability,2.3278944433416173,4.383096379049936,0.0561042989008249
PA14_07870,A0A0H2ZLM1,stability,-1.077547366740154,4.36840621029184,0.00912817680731528
sltB1,A0A0H2ZFQ6,stability,-1.061918547881451,4.340519526314344,0.0852522023707594
fliY,A0A0H2ZKP3,stability,-1.0768243490051936,4.334836367896132,0.00988039970315655
ptpS,A0A0H2ZC22,stability,2.6882212290237044,4.298821305187692,0.0105300703001852
PA14_21175,A0A0H2ZLM2,stability,-1.0539652543940616,4.243129277239837,0.00986331158744952
mazG,A0A0H2Z697,stability,1.4341438197117415,4.162241198492488,0.0115941440435339
PA14_67050,A0A0H2ZIR8,stability,-1.1372865891963098,4.123485750517924,0.0114875574234043
fliD,A0A0H2Z834,expression/solubility,-0.9773832904419208,4.106135988280944,0.0129449838187702
PA14_46310,A0A0H2Z8Q0,expression/solubility,1.5067402540150736,4.104367590955444,0.0930039997193179
ppiA,A0A0H2ZDH5,stability,-1.5274381343603374,4.0976603172684465,0.0127785353055906
PA14_19410,A0A0H2ZE52,stability,0.7702923159032213,4.0705727662872375,0.0889463281131215
algZ,A0A0H2ZEB1,expression/solubility,-1.8162766378673687,4.036396329673113,0.0154339519818906
PA14_05060,A0A0H2ZK38,expression/solubility,-0.7981124296446647,4.003907962540398,0.0165042099093522
potD,A0A0H2ZEN8,stability,-1.255499406086124,3.95250247721652,0.0183314438226134
pchP,A0A0H2ZJA9,stability,-1.5825602112158053,3.948154042130755,0.110533696279799
PA14_21130,A0A0H2ZE45,stability,1.8880588927650184,3.944403183870667,0.0175521691970849
PA14_51320,A0A0H2Z7U6,stability,-1.001995473581773,3.941320180138811,0.0168352365415987
PA14_24260,A0A0H2ZDB9,stability,1.8724229205842193,3.9067488323171684,0.110273871091038
yaeJ,A0A0H2Z6Z2,stability,0.7178280832860612,3.902934986173738,0.10243059462038
mnmA,Q02NB8,stability,-1.1258423407708866,3.8933795160080265,0.0978207269146996
PA14_06150,A0A0H2ZLF5,stability,0.8358805734766868,3.8927268488925098,0.0918480380684921
cheB,A0A0H2Z912,stability,-0.7525272617594837,3.8709812817410274,0.092774637503072
lysA,A0A0H2ZJ02,stability,-1.0143697231178097,3.856875740362019,0.018807476511404
opgG,Q02ET9,stability,-1.6448717064297718,3.846810153913867,0.0188190400192334
rluA,A0A0H2ZCJ1,stability,-0.539040128302123,3.8308851516062763,0.0958937687020872
lasI,A0A0H2Z8S3,stability,-1.0995119169854817,3.8142847883589606,0.0920964156908955
ribD,A0A0H2ZFZ9,stability,1.1517345139886233,3.776895747877912,0.0198751142247944
inaA,A0A0H2ZGM1,stability,1.5199725843944407,3.7764396283124873,0.0954134149985982
PA14_71030,A0A0H2ZJH0,stability,-1.3263262024160387,3.773771155874903,0.114350452761314
pchF,A0A0H2ZGJ4,stability,0.8011294898825815,3.7696781206001755,0.0915153430976549
modA,A0A0H2Z8U0,stability,-1.4548432912142903,3.7639001028132286,0.101098670931871
ponA,A0A0H2ZIP9,stability,1.680069453204625,3.7531758878495354,0.0896919997799696
mnmE,Q02DE1,stability,1.143639309641741,3.748647218803411,0.0195093316759034
fliS,A0A0H2Z6T1,expression/solubility,-0.8923956174237306,3.73852503157484,0.064623532691176
nadK,Q02PQ1,stability,0.9632998073917642,3.734177935433079,0.0198174477795331
PA14_46900,A0A0H2Z8K3,expression/solubility,-1.1962203710866781,3.727790509213416,0.0207326725063174
PA14_02030,A0A0H2ZJA0,stability,-2.090098537384103,3.714134397231958,0.0516182983863474
PA14_09820,A0A0H2ZGB4,stability,1.2200177761692126,3.7135280492385156,0.0206754178465364
mucB,A0A0H2Z6T8,stability,-0.6114730015458861,3.7114628884346703,0.0200311004233927
ubiX,A0A0H2ZFJ1,stability,-1.7294765368329637,3.6995836368356785,0.0982534273122054
recF,Q02V78,stability,0.8643332254494802,3.6934423074055216,0.095455343976747
eco,Q02NQ8,expression/solubility,-0.8986941698173434,3.6923872014414907,0.0199963435257553
PA14_67850,A0A0H2ZHM7,stability,-1.1355422212240702,3.6699404420162045,0.0904090805210635
PA14_64900,A0A0H2ZI14,stability,-0.8259938012926674,3.6662241509493274,0.0199626046502449
pta,A0A0H2Z6Z4,stability,1.4079359244946579,3.6597050521374,0.0971498823803827
PA14_16840,A0A0H2ZES8,stability,1.2107963697209747,3.6504674248899676,0.0201992949133031
PA14_22480,A0A0H2ZDN8,expression/solubility,-1.2669748665051166,3.6387143758202734,0.0204218308896177
flgK,A0A0H2Z7T8,expression/solubility,-0.6965649264236632,3.6334715004582785,0.0198666919928856
ldh,A0A0H2ZEE5,expression/solubility,1.3516855448928216,3.6171089307722237,0.0200843889703231
fumC2,A0A0H2Z7H8,stability,1.0093752045421795,3.601321571685667,0.0202899426676798
norB,A0A0H2ZLE2,expression/solubility,1.786763675428698,3.600742610487384,0.105616748691508
kup,Q02I77,stability,1.1002690835555078,3.5885195272154666,0.0202486156313719
pepP,A0A0H2ZJ38,stability,1.4048640615353416,3.584553187436426,0.0197488254976987
selA,Q02FL3,stability,0.5827007026404177,3.561746475165015,0.106159631797482
PA14_18590,Q02R10,stability,-1.0579426984396547,3.5484484404938303,0.109476669909399
PA14_70360,A0A0H2ZJ40,expression/solubility,-1.0623674625846182,3.5437167597878108,0.0206179273472693
PA14_37780,A0A0H2ZAE1,stability,1.3080472937731613,3.523749436959704,0.0210072818963704
PA14_34770,A0A0H2Z9Z3,expression/solubility,-0.9513053869374108,3.5028834532839372,0.0213778545384763
PA14_17600,A0A0H2ZEP9,expression/solubility,-0.683003124026127,3.501922912800445,0.0208943455733273
trpD,Q02TB6,stability,-0.9857385840423869,3.497663109758123,0.114151339017978
PA14_26940,A0A0H2ZCL8,stability,0.904529263051716,3.4896713428844475,0.0677416523386876
PA14_13140,A0A0H2ZFA6,stability,-0.8936912657090182,3.487686105761898,0.0212494019195901
PA14_17380,A0A0H2ZEH9,stability,0.6786468043142717,3.466629348199559,0.115933682691815
gltD,A0A0H2ZIF1,stability,-0.6867967001583625,3.4666260711397716,0.111658340955463
PA14_15120,A0A0H2ZEY0,expression/solubility,-0.7536312991799923,3.4662294637505355,0.021588278983004
PA14_58390,A0A0H2ZGN2,stability,-1.3400162954461163,3.460875506345398,0.0213244869935434
PA14_59150,A0A0H2ZH21,stability,1.833066144792736,3.454888093722405,0.114309315033676
PA14_35810,A0A0H2ZAX7,stability,-0.7343840650731059,3.432176450621703,0.113721112701918
PA14_04100,A0A0H2ZL15,stability,-0.5702363895100651,3.4242661289143945,0.0237555279159757
ansB,A0A0H2Z7E2,stability,-1.0007931845066578,3.4220586934607704,0.0234565862622311
gluQ,Q02FU9,stability,1.1643213500664835,3.3902729272333687,0.0246415514585789
PA14_52020,A0A0H2Z7E9,expression/solubility,-0.8940546629490929,3.3896933838776486,0.0243352465021445
PA14_16830,A0A0H2ZEU0,stability,-2.1100207330334384,3.37111646865546,0.0238629983155531
PA14_34680,A0A0H2ZB87,stability,0.6600736355267092,3.3672358827780675,0.0735399569755398
pdxJ,Q02HS5,stability,-0.7204726182621786,3.36106877426158,0.0237551172340354
PA14_19350,A0A0H2ZE57,stability,0.6938864323740218,3.3582859166581147,0.11889178667715
PA14_60000,A0A0H2ZHA0,stability,1.0193122093346365,3.35494073208656,0.125368883881769
cmoA,Q02HS7,stability,-0.9111190703546299,3.3541734249158655,0.0234801328834777
grx,A0A0H2ZIW2,stability,1.7913012422950108,3.350208531706485,0.121177844101921
serC,Q02PX3,stability,-0.764115954547301,3.33589326688651,0.0233817092835752
yhdG,A0A0H2ZHW5,stability,1.644013864218157,3.3328486602136578,0.11298240643372
rnfC,A0A0H2ZEK4,stability,0.8119962362340973,3.3129155386785687,0.0239428681395087
ctpA,A0A0H2ZIK7,stability,-0.7484519413805886,3.3095284368345586,0.0238382233905099
rpsL,Q02T85,stability,0.7462994505367447,3.3082019663819535,0.0237365010799136
rnr,A0A0H2ZI34,stability,1.0443464802594549,3.3046950675275375,0.109806539388275
folP,A0A0H2ZHT1,stability,0.4928724131149444,3.2947956150973314,0.131524100275935
PA14_16580,A0A0H2ZEX5,stability,1.3059242254712904,3.2926389928401965,0.024260436826099
aotJ,A0A0H2Z7A1,expression/solubility,-0.5418804524717467,3.288414095061649,0.0241535539835262
PA14_66160,A0A0H2ZIL6,stability,1.034726758896965,3.2876460654338233,0.12973861825982
PA14_22310,A0A0H2ZDV6,expression/solubility,-0.5143514091282028,3.2857949515599736,0.12576977195754
dsbC,A0A0H2ZEZ9,stability,-0.7119099188519021,3.28460766325765,0.0237484959020789
PA14_30440,A0A0H2ZC69,stability,0.6328413154967535,3.273559178457181,0.123966110225652
PA14_41450,A0A0H2Z9N6,stability,1.5219583291301755,3.270023506341083,0.120913651002438
accB,A0A0H2ZIA1,expression/solubility,-0.8040370648589187,3.261977230931935,0.111283076101265
sbp,A0A0H2ZKY4,stability,-0.7036611380363575,3.2615028311204943,0.0240962537909225
aruF,A0A0H2Z674,stability,-0.7418839432640318,3.251177537873773,0.123253225266711
PA14_43520,A0A0H2Z9A3,stability,-1.3162827434038316,3.245776088803794,0.0241407684198912
rpsB,Q02RC8,stability,0.9623132809989775,3.2441435407612285,0.0237532670266353
PA14_25830,A0A0H2ZD47,stability,1.2030259446609919,3.238072057025884,0.10911798938889
znuC,Q02DK9,expression/solubility,0.7684317716282494,3.2130849148215397,0.108259063468132
PA14_72640,A0A0H2ZIR4,stability,-0.6667633814818311,3.2045306579216764,0.0249288025793967
trmJ,A0A0H2ZF87,stability,-0.43584815412454875,3.1966954672697128,0.134876348240675
flgI,Q02IQ1,stability,-0.7099637007099827,3.1934220748954694,0.0252340120963437
PA14_45970,A0A0H2Z8C8,stability,0.5024997113095077,3.190759104318236,0.133983523374043
PA14_53230,A0A0H2Z6V6,stability,-0.7311249946801395,3.1856432273384865,0.132405229987772
PA14_57050,A0A0H2ZGM0,stability,1.7841893908366,3.179138772744064,0.0255291797033565
PA14_14530,A0A0H2ZF90,expression/solubility,0.6688392849139574,3.1782920807290704,0.0914592567337197
PA14_14370,A0A0H2ZFF4,stability,1.2390775899288975,3.1701763234738745,0.108495177087928
yjcG,A0A0H2ZDP6,stability,1.6066551524200292,3.1509569189279936,0.104321930360415
hscA,Q02RW4,stability,-0.6399895865338106,3.1395261392563394,0.137489915340503
sspA,A0A0H2ZFM5,stability,-0.8830408312237,3.1358044614956153,0.134969930000986
proA,Q02SH4,stability,0.6890285223973845,3.1223619270874376,0.0282392600916242
moaC,Q02S84,stability,1.2453608663163713,3.1185975782381883,0.0279486564208875
spuF,A0A0H2ZKB1,stability,0.5181329276632136,3.1169585112891585,0.108841848524449
PA14_45150,A0A0H2Z8X8,stability,0.6782672888278823,3.113603375932465,0.0280581127871183
norC,A0A0H2ZKE8,expression/solubility,-0.924050495268862,3.0996489518088306,0.0282925026999375
ygiM,A0A0H2ZFX5,stability,-0.4955469980730186,3.097968388272312,0.027884471608538
hpd,A0A0H2Z633,stability,-0.5833680451960471,3.0977096631601633,0.142649655634168
PA14_70200,A0A0H2ZI72,stability,-0.5808111951095322,3.097486047897731,0.0274873213462425
uvrB,A0A0H2ZC86,stability,0.7969729111399144,3.0970561503963,0.139455003434852
spuD,Q02UB7,stability,-1.035857983048437,3.0888487958917685,0.0274708887678622
tpx,A0A0H2ZBU9,expression/solubility,-0.8686884581616345,3.078749591522368,0.0278193851864003
PA14_25220,A0A0H2ZD78,stability,-0.7407729708945299,3.0727001441173183,0.0275573969271557
flgE,A0A0H2Z7W1,expression/solubility,-0.9285360597917267,3.0629889419174905,0.0276571104885805
PA14_20800,A0A0H2ZE20,expression/solubility,-0.9239599744054224,3.0584523260126555,0.106436048624784
