representative,clustername,nObs,min_qupm,max_qupm,nCoeffsH0,nCoeffsH1,rssH0,rssH1,pEC50H1,slopeH1,pEC50_slopeH1,detected_effectH1,df1,df2,F_statistic,nObsRound,rssH1Squeezed,dataset,max_rank,rank,is_decoy,all_null,all_true,true_cumsum,null_cumsum,remaining_null,remaining_true,pi,FDR
pdxB,pdxB,30,14,23,6,16,3.12406585818786,0.0309126855225305,4.59321117127014,-6.56002276814161,-0.0121548762745684,stability,10,14,95.0671002249666,30,0.00325365259416317,true,39895,1,0,39500,395,1,0,39500,394,0.99746835443038,0
ftsI,ftsI,30,4,14,6,16,4.62304703559179,0.0733360808017216,4.63986018153388,4.83957334908689,-0.00899777361868365,stability,10,14,79.289064056528,30,0.00573813174480963,true,39895,3,0,39500,395,2,1,39499,393,0.994961897769564,0.00497480948884782
alaS,alaS,50,6,53,10,24,10.3014937471121,0.314111964409423,4.45753778505053,4.30018470638597,0.00919095932264314,stability,14,26,60.9337564144942,50,0.01170754036888,true,109989,1,0,108900,1089,1,0,108900,1088,0.999081726354454,0
aceF,aceF,50,18,37,10,24,4.6619519564467,0.153607473245544,4.35075565635264,4.5798183771873,0.00990396167546367,stability,14,26,51.8859627704434,50,0.0062063916471524,true,109989,2,0,108900,1089,2,0,108900,1087,0.998163452708907,0
ycbZ,ycbZ,30,13,16,6,16,3.11636543534502,0.081876717797187,4.58182391818127,-3.77312151930682,-0.0244099814537807,stability,10,14,48.6428423825556,30,0.00623830468968662,true,39895,4,0,39500,395,3,1,39499,392,0.992430188106028,0.00330810062702009
nusA,nusA,50,3,33,10,24,4.84914923404316,0.178290094179829,4.31985875616412,4.38351827780698,0.0099745786056881,stability,14,26,47.3079205597271,50,0.00705236653306937,true,109989,3,0,108900,1089,3,0,108900,1086,0.997245179063361,0
mrcA,mrcA,30,8,29,6,16,3.06840422403467,0.0891935116252651,5.01460959075745,3.31726163518545,0.0181123915006053,stability,10,14,44.6872360056129,30,0.00666680461515947,true,39895,5,0,39500,395,4,1,39499,391,0.989898478442492,0.00247474619610623
tdh,tdh,50,4,11,10,24,11.3153453832321,0.481025747788959,4.59655806249683,5.00777605697812,0.0108926548625629,stability,14,26,44.4034831947642,50,0.0174283618824632,true,109989,4,0,108900,1089,4,0,108900,1085,0.996326905417815,0
rpsA,rpsA,50,23,53,10,24,5.59372243518038,0.23928142886627,4.38965424931858,4.41390064023092,0.0109986008017819,stability,14,26,41.8318761972297,50,0.0091427902988704,true,109989,5,0,108900,1089,5,0,108900,1084,0.995408631772268,0
fimB,fimB,20,2,3,4,12,6.00216004960998,0.165711414184876,4.62509255439413,3.44127490037853,0.0138809362062033,stability,8,8,40.6952063560025,20,0.0179273222758958,true,50702,4,0,50200,502,1,3,50197,501,0.998067613602406,0.0299420284080722
queF,queF,50,9,16,10,24,7.11553293540117,0.380849497744171,4.50072834727018,4.78345600903691,0.01351067579944,stability,14,26,34.3731269098407,50,0.0139949099841068,true,109989,7,0,108900,1089,6,1,108899,1083,0.994499490353447,0.00165749915058908
icd,icd,50,6,34,10,24,3.95334037546906,0.204207723325933,4.54253169157067,4.68166499898832,0.0107749996422984,stability,14,26,33.7245070972589,50,0.00794067022733628,true,109989,8,0,108900,1089,7,1,108899,1082,0.993581208275558,0.00141940172610794
fecB,fecB,50,3,9,10,24,2.69981309641476,0.133874136568393,4.77339890234548,-4.34779752168479,0.00753239107307124,stability,14,26,33.1428078980186,50,0.0055300490784819,true,109989,9,0,108900,1089,8,1,108899,1081,0.992662926197669,0.00124082865774709
sucB,sucB,50,3,20,10,24,6.35506296397526,0.353433517641671,4.41130595257283,4.31133033370669,0.0104154927479432,stability,14,26,32.8364270038997,50,0.0130552516430714,true,109989,10,0,108900,1089,9,1,108899,1080,0.991744644119781,0.00110193849346642
pflB,pflB,50,7,43,10,24,4.92229508524841,0.283678063922917,4.5694039293688,2.350712942094,0.0094985660487316,stability,14,26,31.0686371406696,50,0.0106644454900732,true,109989,12,0,108900,1089,10,2,108898,1079,0.990835460706349,0.0019816709214127
ugpB,ugpB,50,14,25,10,24,1.82639383704093,0.0922849174487356,4.26662843041612,-4.37791717762055,-0.0009453035742369,stability,14,26,30.1769850662586,50,0.00410461557229948,true,109989,13,0,108900,1089,11,2,108898,1078,0.989917170195963,0.0017998494003563
fumB,fumB,30,2,10,6,16,1.50767118634379,0.0588307883773544,4.62527991110283,1.181150464021,-0.00691319168430885,stability,10,14,29.6368480567126,30,0.00488864536199653,true,39895,8,0,39500,395,5,3,39497,390,0.987416765830316,0.0059245005949819
gabD,gabD,50,4,26,10,24,3.07071363633916,0.178354147122334,4.59399445776533,3.95978230560105,0.0115010346834287,stability,14,26,29.2856040634323,50,0.00705456189072091,true,109989,15,0,108900,1089,12,3,108897,1077,0.989007961651836,0.00247251990412959
katG,katG,50,4,29,10,24,5.84344271620303,0.373042917273292,4.84020186174857,3.738667900975,0.0136053604859595,stability,14,26,28.464557677249,50,0.0137273463797053,true,109989,16,0,108900,1089,13,3,108897,1076,0.988089662708798,0.00228020691394338
glnS,glnS,50,2,40,10,24,32.3533853598833,2.18254680805472,4.7736697780128,3.99325414352122,0.0113042608266601,stability,14,26,28.4509564316515,50,0.0757464833119529,true,109989,17,0,108900,1089,14,3,108897,1075,0.98717136376576,0.00211536720806949
metG,metG,50,4,37,10,24,5.2711386391695,0.33822953213789,4.55497812032185,3.34142860326939,0.0114685035293159,stability,14,26,28.11125533221,50,0.0125341485585858,true,109989,19,0,108900,1089,15,4,108896,1074,0.986262121657361,0.00263003232441963
cspG,cspG,50,2,3,10,24,5.36272115071674,0.36233683515754,4.81869868185947,-3.05567174976118,-0.000411751175242453,expression/solubility,14,26,26.7334942319963,50,0.0133604049345239,true,109989,22,0,108900,1089,16,6,108894,1073,0.985361911583742,0.00369510716843903
leuS,leuS,50,2,47,10,24,21.3776961873035,1.5260093676478,5.38921295013869,4.63766607619568,0.0198440215822183,stability,14,26,26.6315654444195,50,0.0532442463036862,true,109989,23,0,108900,1089,17,6,108894,1072,0.984443587341819,0.00347450677885348
cspB,cspB,50,2,4,10,24,2.33086696657801,0.146037990595205,3.60205999132796,-5.2591664002077,-0.0214791687037351,expression/solubility,14,26,26.241871574946,50,0.00594695435973383,true,109989,24,0,108900,1089,18,6,108894,1071,0.983525263099895,0.00327841754366632
thrS,thrS,50,6,41,10,24,3.95912909596582,0.265908498528784,4.47729320456308,4.39798907799824,0.0112304624119104,stability,14,26,26.2347816788134,50,0.0100554094360367,true,109989,25,0,108900,1089,19,6,108894,1070,0.982606938857972,0.00310296928060412
aldA,aldA,50,9,30,10,24,1.58321821477311,0.0966632703681812,4.60551031759967,4.74084933444184,0.0118197292544264,stability,14,26,24.9566366629771,50,0.00425467972559154,true,109989,29,0,108900,1089,20,9,108891,1069,0.981715660614743,0.00441772047276634
carB,carB,40,10,49,8,20,0.817406149928685,0.0334981270798572,4.62544808549865,2.97470652318924,0.0141464616633785,stability,12,20,24.728412730868,40,0.00264172509904733,true,27169,4,0,26900,269,1,3,26897,268,0.996393649849425,0.0298918094954828
tolB,tolB,50,8,15,10,24,1.2850983546521,0.0749264942279281,4.07774668287966,-7.37661389052311,-0.00662184814163072,stability,14,26,24.629330192146,50,0.00350967105068573,true,109989,31,0,108900,1089,21,10,108890,1068,0.980806318302874,0.00467050627763273
rpsD,rpsD,50,6,18,10,24,12.0373742872407,0.918950218944201,4.79497063167872,3.0120486071948,0.0164623028887246,stability,14,26,24.4829279865163,50,0.0324378337498214,true,109989,32,0,108900,1089,22,10,108890,1067,0.979887960326935,0.00445403618330425
fepB,fepB,40,2,7,8,20,0.964939153139661,0.0465104229792449,4.94859948569318,-5.3101109999164,0.00957640632579699,stability,12,20,23.9157357196119,40,0.00320022467260355,true,27169,5,0,26900,269,2,3,26897,267,0.992675763096256,0.0148901364464438
rhlB,rhlB,40,2,19,8,20,6.94277415372644,0.521444281612744,4.56699541430926,4.01911298862252,0.012211005149586,stability,12,20,22.6887834070945,40,0.0235848177963045,true,27169,6,0,26900,269,3,3,26897,266,0.988957876343087,0.00988957876343086
bglX,bglX,50,10,32,10,24,0.958096625796449,0.0558530379499509,5.60205999132796,-2.00343547092865,0.0178676330245706,stability,14,26,22.5655479646494,50,0.00285594529596284,true,109989,37,0,108900,1089,23,14,108886,1066,0.979005565453777,0.00595916431145778
yjjX,yjjX,20,5,6,4,12,1.42740474629239,0.055614136362624,4.73085055428773,7.57325509398857,0.0095483174961168,stability,8,8,22.2340420249489,20,0.00771222011943709,true,50702,9,0,50200,502,2,7,50193,500,0.996154842308688,0.0348654194808041
glmS,glmS,50,2,32,10,24,1.98893025780017,0.147110534447782,4.62209441870935,4.61887848794189,0.0117038156540933,stability,14,26,21.9860997791704,50,0.00598371484662625,true,109989,38,0,108900,1089,24,14,108886,1065,0.978087173741344,0.00570550851349118
acpP,acpP,50,3,5,10,24,5.37479825308419,0.445537309793499,4.11275235523532,-5.55443933437371,-0.0352034322256485,expression/solubility,14,26,21.7178309964544,50,0.01621202722479,true,109989,40,0,108900,1089,25,15,108885,1064,0.977177756348441,0.00586306653809065
pheS,pheS,50,4,23,10,24,12.8292949376539,1.10446787245614,4.41213775038026,3.72289945840764,0.0100419104215127,stability,14,26,21.5867993012463,50,0.0387962863705216,true,109989,42,0,108900,1089,26,16,108884,1063,0.976268322251203,0.00600780506000741
proS,proS,50,4,34,10,24,11.6319920676952,1.00604848023793,4.46478830130792,4.00340495966959,0.0100943955949743,stability,14,26,21.4266131068785,50,0.0354230492120571,true,109989,43,0,108900,1089,27,16,108884,1062,0.975349913669593,0.00577985134026426
rpoZ,rpoZ,50,3,9,10,24,8.14634117415047,0.710520788625522,4.67708727483668,-4.36459357023064,-0.01800317544867,expression/solubility,14,26,20.9981782377902,50,0.025294100351126,true,109989,44,0,108900,1089,28,16,108884,1061,0.974431505087984,0.00556818002907419
hflX,hflX,30,7,20,6,16,1.21454148905458,0.0714991518525174,4.59646642770612,4.34177459943374,-0.00997494840574346,stability,10,14,20.3007080644041,30,0.00563055403572996,true,39895,14,0,39500,395,6,8,39492,389,0.985009622201965,0.0131334616293595
amn,amn,40,15,19,8,20,0.792668490868654,0.0463080199548666,4.63716849981534,2.42879936031817,0.0042555142887726,stability,12,20,19.4880081523316,40,0.00319153735072924,true,27169,8,0,26900,269,4,4,26896,265,0.985276621058894,0.00985276621058894
gyrA,gyrA,50,2,51,10,24,6.94386250814355,0.648381648476052,4.43364253671059,3.78916373632074,0.00918178872598955,stability,14,26,19.4124793011952,50,0.0231643365736534,true,109989,53,0,108900,1089,29,24,108876,1060,0.973584628384584,0.00805725209697587
agp,agp,50,8,18,10,24,2.29195828337205,0.19803085139125,4.7818190260038,-3.85167995358119,0.00448610011232921,stability,14,26,19.3513976899449,50,0.007728963433954,true,109989,54,0,108900,1089,30,24,108876,1059,0.972666152320071,0.00778132921856056
rpsC,rpsC,50,5,25,10,24,17.8199081707792,1.72551256826558,4.63881866029473,3.42500545362069,0.0112359015482098,stability,14,26,19.133832082556,50,0.0600820411161597,true,109989,58,0,108900,1089,31,27,108873,1058,0.971774452802807,0.00846384200828251
pykF,pykF,50,6,30,10,24,4.31001406682647,0.403920499141697,4.59845192102486,3.5306025162528,0.0110139493468884,stability,14,26,18.8701017762318,50,0.0147856480433764,true,109989,60,0,108900,1089,32,28,108872,1057,0.970864868836799,0.00849506760232199
glmU,glmU,50,3,16,10,24,4.04588759565858,0.382747268204316,4.56363456340828,3.37720206678271,0.0137438251735258,stability,14,26,18.6097958410967,50,0.0140599543792216,true,109989,62,0,108900,1089,33,29,108871,1056,0.969955268161402,0.00852384932626686
tmk,tmk,50,4,13,10,24,1.45000449729872,0.12216883388462,4.50524369623796,-2.54959525131181,0.00863316559241705,stability,14,26,18.4924915382226,50,0.0051288602367907,true,109989,64,0,108900,1089,34,30,108870,1055,0.969045650776155,0.00855040280096607
mdoG,mdoG,50,19,36,10,24,0.698259005706725,0.0464047440743238,4.51113028703972,-4.57440966877907,0.00215265104518392,stability,14,26,18.3882041935162,50,0.00253211342434659,true,109989,66,0,108900,1089,35,31,108869,1054,0.968136016680598,0.0085749190048853
argG,argG,30,3,15,6,16,1.90368597555446,0.140933082670263,3.60205999132796,1.57554085037378,-0.0174714987507718,stability,10,14,18.1785662086292,30,0.00969687527967653,true,39895,19,0,39500,395,7,12,39488,388,0.98257698541329,0.0168441768927993
ydgJ,ydgJ,30,4,8,6,16,1.72813270186321,0.12634698642294,4.62700156154722,7.18520565523247,0.0170119013533233,stability,10,14,18.1143039686439,30,0.00884265671048125,true,39895,20,0,39500,395,8,12,39488,387,0.980044570502431,0.0147006685575365
prs,prs,50,3,15,10,24,4.75883014023441,0.47294182139827,4.39824094571839,4.49231193288307,0.0112230684053626,stability,14,26,17.8490851367101,50,0.0171512924932629,true,109989,70,0,108900,1089,36,34,108866,1053,0.967244134991641,0.00913508349714328
sgbH,sgbH,30,3,3,6,16,2.4508861123153,0.194635050717924,4.63471771363994,-0.333645296198679,-0.546751613495941,stability,10,14,17.5694878481323,30,0.0128418715508387,true,39895,21,0,39500,395,9,12,39488,386,0.977512155591572,0.0130334954078876
dapA,dapA,50,8,11,10,24,1.15014451313849,0.0990553005869784,4.58961826974677,4.66880442576727,0.0126903084230168,stability,14,26,17.3123380955924,50,0.00433666443446199,true,109989,75,0,108900,1089,37,38,108862,1052,0.966361081001635,0.00992478948055733
yadG,yadG,50,2,14,10,24,2.77765271300659,0.275441198748749,4.34925555577343,-9.68833075199804,-0.0129217907596696,stability,14,26,17.2150917526868,50,0.010382134260055,true,109989,76,0,108900,1089,38,38,108862,1051,0.965442486818174,0.00965442486818174
rfaZ,rfaZ,20,4,6,4,12,0.899181595515839,0.0411752875206468,4.58922753955673,8.59987616042859,0.000116155757854948,stability,8,8,16.8301279238695,20,0.00637254743306434,true,50702,16,0,50200,502,3,13,50187,499,0.994281387610337,0.043085526796448
purM,purM,30,4,8,6,16,2.42506069557124,0.20227393159054,4.61204276160561,4.04712176957849,0.0152069859519372,stability,10,14,16.7262216870063,30,0.0132892341472878,true,39895,23,0,39500,395,10,13,39487,385,0.975004431838327,0.0126750576138982
fadD,fadD,30,4,16,6,16,4.37556790737998,0.385562451722471,4.60682010042544,4.68882303492787,0.0140873099315619,stability,10,14,16.6088821553788,30,0.0240233232937073,true,39895,24,0,39500,395,11,13,39487,384,0.972471952794591,0.0114928503512088
glgC,glgC,50,7,15,10,24,7.07640715535087,0.770920810421551,4.58237480962499,4.72335228945425,0.0117444253700365,stability,14,26,16.4591304381497,50,0.0273642573933753,true,109989,81,0,108900,1089,39,42,108858,1050,0.964559334178471,0.0103875620603835
wrbA,wrbA,50,7,11,10,24,1.61450448485777,0.158326560446249,5.60205999132796,-2.06876900247224,0.0104899879923104,stability,14,26,16.3333099133955,50,0.00636813416497,true,109989,83,0,108900,1089,40,43,108857,1049,0.963649558595221,0.0103592327548986
gyrB,gyrB,50,3,36,10,24,21.3426809020055,2.40323888565467,4.573432947228,3.85677734565457,0.0102425307273897,stability,14,26,16.2382551572765,50,0.0833105080428544,true,109989,85,0,108900,1089,41,44,108856,1048,0.962739766296759,0.0103318413944042
aspS,aspS,50,11,44,10,24,1.01066505443464,0.091027965318684,4.62605256103219,3.3980145750663,0.0101092572307319,stability,14,26,16.1732864735458,50,0.00406153465566366,true,109989,86,0,108900,1089,42,44,108856,1047,0.96182112148159,0.0100762212726643
accC,accC,50,6,30,10,24,5.80840040897163,0.651319841080127,4.60029327336929,4.51455339951563,0.0133639817839609,stability,14,26,15.8333228565031,50,0.0232650405126578,true,109989,88,0,108900,1089,43,45,108855,1046,0.960911304028295,0.0100560485305287
pgi,pgi,50,5,27,10,24,2.98822714932119,0.324064757896708,4.63302048311784,2.89224274185085,0.0145022832641617,stability,14,26,15.7940599319379,50,0.0120486635161089,true,109989,90,0,108900,1089,44,46,108854,1045,0.96000146985871,0.0100363790030683
pheT,pheT,50,5,49,10,24,16.890457304709,1.96116666126284,4.52499704445581,3.84939712567566,0.0098631601334677,stability,14,26,15.6454738048834,50,0.068158875621296,true,109989,91,0,108900,1089,45,46,108854,1044,0.959082808165065,0.00980395759457622
psiF,psiF,50,5,5,10,24,10.4374314377272,1.21016132312862,4.0898721657271,-4.88154356571272,-0.0372393595892125,expression/solubility,14,26,15.5376901800084,50,0.0424188354147611,true,109989,94,0,108900,1089,46,48,108852,1043,0.958181751368831,0.00999841827515302
putA,putA,30,23,39,6,16,1.14751261750093,0.0915677782910415,4.62805031399804,3.89731025293103,0.00277033637107725,stability,10,14,15.5152508158639,30,0.0068058509123824,true,39895,29,0,39500,395,12,17,39483,383,0.970037737760555,0.0137422012849412
cmoB,cmoB,30,11,16,6,16,0.482848696354426,0.0257573731393454,4.62676117930988,4.58306563667777,0.0185964451169606,stability,10,14,15.4855007688045,30,0.00295173743516186,true,39895,30,0,39500,395,13,17,39483,382,0.967505002152825,0.0126519884896908
nuoG,nuoG,50,16,35,10,24,1.85770726664181,0.196143825550721,5.60205999132796,13.393568237874,0.0194007454405119,stability,14,26,15.4852105971664,50,0.00766428730112297,true,109989,95,0,108900,1089,47,48,108852,1042,0.95726307279609,0.00977630372217284
purA,purA,50,5,30,10,24,1.91545795723156,0.20682615789464,4.6279176686863,4.15306333462191,0.0153920265049613,stability,14,26,15.1978611833685,50,0.00803041474399196,true,109989,102,0,108900,1089,48,54,108846,1041,0.956397111515352,0.0107594675045477
cca,cca,50,7,14,10,24,0.704700217251177,0.0612955000687524,4.64431860552488,2.84787605358271,-0.0102132694672233,stability,14,26,15.1052651196006,50,0.00304248084590783,true,109989,104,0,108900,1089,49,55,108845,1040,0.955487160641279,0.0107248558847491
oppF,oppF,50,2,18,10,24,10.6428776761853,1.280105525513,4.37752461675835,4.64235692644533,0.00819970983914996,stability,14,26,14.9225229049541,50,0.0448161107604476,true,109989,108,0,108900,1089,50,58,108842,1039,0.954594733650613,0.0110732989103471
rho,rho,50,5,28,10,24,14.7610887362014,1.7887414369444,4.86865220448264,3.86939529919723,0.0127109218354999,stability,14,26,14.8852822988252,50,0.0622491543700415,true,109989,110,0,108900,1089,51,59,108841,1038,0.953684732775333,0.0110328233791656
era,era,30,7,11,6,16,1.08518650672492,0.0917952346029819,4.23253074911981,8.02270784935989,-0.0177638719581535,stability,10,14,14.567623820942,30,0.00681917163932988,true,39895,35,0,39500,395,14,21,39479,381,0.965070037234986,0.0144760505585248
sucC,sucC,50,2,24,10,24,11.5767499800574,1.45237635796188,4.30210500232204,4.12324118345402,0.00438125619174537,stability,14,26,14.2579227112616,50,0.0507205403676509,true,109989,124,0,108900,1089,52,72,108828,1037,0.95287977358768,0.0131937199419833
lepA,lepA,50,2,23,10,24,15.7923585613501,2.02064848523533,5.60205999132796,4.33294363134733,0.0233988915017867,stability,14,26,14.0132156351554,50,0.070197562249561,true,109989,129,0,108900,1089,53,76,108824,1036,0.951995883261045,0.0136512617222339
grxA,grxA,50,2,5,10,24,2.82460730059924,0.345355712400134,4.38428259071809,-6.6362112736828,-0.0242635532242923,expression/solubility,14,26,13.8585041414326,50,0.0127783920508157,true,109989,136,0,108900,1089,54,82,108818,1035,0.951129408737525,0.014443076206755
tyrS,tyrS,50,2,15,10,24,5.03643124857608,0.638664962544247,4.57446450841943,4.75164868963267,0.0147388832231279,stability,14,26,13.7585719362297,50,0.022831305802953,true,109989,137,0,108900,1089,55,82,108818,1034,0.950210443125218,0.0141667738793214
valS,valS,50,3,61,10,24,22.4645109630451,2.93405529316522,4.50686234427553,3.27240090277918,0.00680411203304181,stability,14,26,13.7436527665416,50,0.101503768433726,true,109989,139,0,108900,1089,56,83,108817,1033,0.949300201255319,0.0140699851257485
yahO,yahO,50,3,4,10,24,6.26035883151203,0.802964649319865,5.60205999132796,-1.81740693012167,-0.00312479775633819,expression/solubility,14,26,13.6956851653794,50,0.0284625314797666,true,109989,140,0,108900,1089,57,83,108817,1032,0.948381227197956,0.0138097617293737
pepT,pepT,50,4,15,10,24,1.64402879558697,0.195805903039257,3.60205999132796,2.79062886322986,-0.0240832173984972,stability,14,26,13.5173756427497,50,0.00765270530750706,true,109989,144,0,108900,1089,58,86,108814,1031,0.947488374657673,0.0140489655552689
